Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=Value~String~Value~100|Field=Comment~String~Comment~100|Field=Footprint~String~Footprint~100|Field=Description~String~Description~100|Field=Quantity~Integer~Quantity~100|Field=LibRef~String~LibRef~100|Field=DigikeyPN~String~DigikeyPN~100|Field=Library Reference~String~Library Reference~100|Field=LoadCapacitance~String~LoadCapacitance~100|Field=Model:Footprint~String~Model:Footprint~100|Field=PartNumber~String~PartNumber~100|Field=Pins~Integer~Pins~100|Field=ScrewSize~String~ScrewSize~100|Field=VisibleNetName~String~VisibleNetName~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Solens.PrjPCB|ReportField=ProjectFullPath~C:\Users\qux\projects\solenshardware\Altium\Solens\Solens.PrjPCB|ReportField=Title~Bill of Materials (XLSX) For Project [Solens.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~208|ReportField=ReportTime~10:45:33 AM|ReportField=ReportDate~3/30/2017|ReportField=ReportDateTime~3/30/2017 10:45:33 AM|ReportField=OutputName~Bill of Materials (XLSX)|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~3/30/2017|ReportField=CurrentTime~10:07:46 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\qux\projects\solenshardware\Altium\Solens\Solens.SchDoc|ReportField=DocumentName~Solens.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~3/26/2017|ReportField=Organization~|ReportField=ProjectName~Solens.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Solens.PrjPCB|ReportField=DataSourceFullPath~C:\Users\qux\projects\solenshardware\Altium\Solens\Solens.PrjPCB
1|U700|||ESP8266 ESP-12-E|ESP8266 ESP-12-E|1|ESP8266 ESP-12-E||ESP8266 ESP-12-E||ESP8266 ESP-12-E|ESP8266-12E|22||
2|U500|||TSOP80P1170X120-54N|1Mb x 16 x 4 bank (64 Mbit) SDRAM|1|IS42S16400J|706-1132-ND|IS42S16400J||TSOP, 54-Leads, Body 22.22x10.16mm,  (IS42S16400J)|IS42S16400J|54||
3|U400|||TSSOP50P490X110_HS-11N|42V 1.5A step-down, low Iq|1|LT8608|LT8608IMSE#PBF-ND|LT8608||TSSOP, 10-Leads, Body 3.00x3.00mm, Pitch 0.50mm, Thermal Pad 1.88x1.68mm, IPC Medium Density|LT8608|11||
4|U302|||TSOP65P490X110-8N|Dual zero-drift op amp|1|LTC2054/LTC2055|LTC2055HMS8#PBF-ND|LTC2054/LTC2055||TSOP, 8-Leads, Body 3.00x3.00mm (LTC2054/LTC2055)|LTC2055|8||
5|U301|||TSOP65P490X110-8N|Dual channel I2C temperature sensor|1|EMC1412|638-1120-1-ND|EMC1412||TSOP, 8-Leads, Body 3.00x3.00mm, Pitch 0.65mm (MSOP-8, MCP79412)|EMC1412-1-ACZL-TR|8||
6|U300|||TSOP65P490X110-8N|I2C RTC w/ SRAM and EEPROM|1|MCP7941x|MCP79412-I/MS-ND|MCP7941x||TSOP, 8-Leads, Body 3.00x3.00mm, Pitch 0.65mm (MSOP-8, MCP79412)|MCP79412|8||
7|U203|||DFN8-3x3|Multi-cell I2C fuel gauge|1|LTC2943A|LTC2943IDD#PBF-ND|LTC2943A||LTC2943|LTC2943|9||
8|U201||LM234SM|SOIC127P600X175-8N (LM234)|Adjustable current source|1|LM234|497-1549-1-ND|LM234||SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm,|LM234SM|3||
9|U200|||TSOP65P490X110_HS-13N (LT3652)|MPPC and battery charger|1|LT3652|LT3652HVIMSE#PBF-ND|LT3652||TSOP, 12-Leads, Body 4.04x3.00mm, Pitch 0.65mm, Thermal Pad 2.95x1.76mm,|LT3652|13||
10|U100||STM32F429|TSQFP50P2200X2200X160-144M|Cortex-M4 microcontroller|1|STM32F429|497-14053-ND|STM32F429||TSQFP, 144-Leads, Body 20.00x20.00mm, Pitch 0.50mm, STM32F429|STM32F429|144||
11|TP702||TP_LARGE|TP_LARGE||1|TP_LARGE|36-5016CT-ND|TP_LARGE||5016||1||GND
12|TP701|||TP_SMALL||1|TP_SMALL|36-5015CT-ND|TP_SMALL||5015||1||RX
13|TP700|||TP_SMALL||1|TP_SMALL|36-5015CT-ND|TP_SMALL||5015||1||TX
